ICD_CODE,LONG_DESCRIPTION,CHARLSON_GROUP
C74.9,"Malignant neoplasm of adrenal gland, unspecified",CANCER
C75.0,Malignant neoplasm of parathyroid gland,CANCER
C75.1,Malignant neoplasm of pituitary gland,CANCER
C75.2,Malignant neoplasm of craniopharyngeal duct,CANCER
C75.3,Malignant neoplasm of pineal gland,CANCER
C75.4,Malignant neoplasm of carotid body,CANCER
C75.5,Malignant neoplasm of aortic body and other paraganglia,CANCER
C75.8,"Malignant neoplasm of pluriglandular involvement, unspecified",CANCER
C75.9,"Malignant neoplasm of endocrine gland, unspecified",CANCER
C76.0,"Malignant neoplasm of head, face and neck",CANCER
C76.1,Malignant neoplasm of thorax,CANCER
C76.2,Malignant neoplasm of abdomen,CANCER
C76.3,Malignant neoplasm of pelvis,CANCER
C76.4,Malignant neoplasm of upper limb,CANCER
C76.5,Malignant neoplasm of lower limb,CANCER
C76.7,Malignant neoplasm of other ill-defined sites,CANCER
C76.8,Overlapping malignant lesion of other and ill-defined sites,CANCER
C77.0,"Secondary and unspecified malignant neoplasm of lymph nodes of head, face and neck",METASTATIC_CANCER
C77.1,Secondary and unspecified malignant neoplasm of intrathoracic lymph nodes,METASTATIC_CANCER
C77.2,Secondary and unspecified malignant neoplasm of intra-abdominal lymph nodes,METASTATIC_CANCER
C77.3,Secondary and unspecified malignant neoplasm of axillary and upper limb lymph nodes,METASTATIC_CANCER
C77.4,Secondary and unspecified malignant neoplasm of inguinal and lower limb lymph nodes,METASTATIC_CANCER
C77.5,Secondary and unspecified malignant neoplasm of intrapelvic lymph nodes,METASTATIC_CANCER
C77.8,Secondary and unspecified malignant neoplasm of lymph nodes of multiple regions,METASTATIC_CANCER
C77.9,"Secondary and unspecified malignant neoplasm of lymph node, unspecified",METASTATIC_CANCER
C78.0,Secondary malignant neoplasm of lung,METASTATIC_CANCER
C78.1,Secondary malignant neoplasm of mediastinum,METASTATIC_CANCER
C78.2,Secondary malignant neoplasm of pleura,METASTATIC_CANCER
C78.3,Secondary malignant neoplasm of other and unspecified respiratory organs,METASTATIC_CANCER
C78.4,Secondary malignant neoplasm of small intestine,METASTATIC_CANCER
C78.5,Secondary malignant neoplasm of large intestine and rectum,METASTATIC_CANCER
C78.6,Secondary malignant neoplasm of retroperitoneum and peritoneum,METASTATIC_CANCER
C78.7,Secondary malignant neoplasm of liver and intrahepatic bile duct,METASTATIC_CANCER
C78.8,Secondary malignant neoplasm of other and unspecified digestive organs,METASTATIC_CANCER
C79.0,Secondary malignant neoplasm of kidney and renal pelvis,METASTATIC_CANCER
C79.1,Secondary malignant neoplasm of bladder and other and unspecified urinary organs,METASTATIC_CANCER
C79.2,Secondary malignant neoplasm of skin,METASTATIC_CANCER
C79.3,Secondary malignant neoplasm of brain and cerebral meninges,METASTATIC_CANCER
C79.4,Secondary malignant neoplasm of other and unspecified parts of nervous system,METASTATIC_CANCER
C79.5,Secondary malignant neoplasm of bone and bone marrow,METASTATIC_CANCER
C79.6,Secondary malignant neoplasm of ovary,METASTATIC_CANCER
C79.7,Secondary malignant neoplasm of adrenal gland,METASTATIC_CANCER
C79.81,Secondary malignant neoplasm of breast,METASTATIC_CANCER
C79.82,Secondary malignant neoplasm of genital organs,METASTATIC_CANCER
C79.88,Secondary malignant neoplasm of other specified sites,METASTATIC_CANCER
C80.,Malignant neoplasm without specification of site,METASTATIC_CANCER
C81.0,Nodular lymphocyte predominant Hodgkin lymphoma,CANCER
C81.1,Nodular sclerosis (classical) Hodgkin lymphoma,CANCER
C81.2,Mixed cellularity (classical) Hodgkin lymphoma,CANCER
C81.3,Lymphocyte depleted (classical) Hodgkin lymphoma,CANCER
C81.7,Other (classical) Hodgkin lymphoma,CANCER
C81.9,"Hodgkin lymphoma, unspecified",CANCER
C82.,Follicular lymphoma,CANCER
C82.0,Follicular lymphoma grade 1,CANCER
C82.1,Follicular lymphoma grade 2,CANCER
C82.2,"Follicular lymphoma grade 3, unspecified",CANCER
C82.7,Other types of follicular lymphoma,CANCER
C82.9,"Follicular lymphoma, unspecified",CANCER
C83.,Non-follicular lymphoma,CANCER
C83.0,Small cell B-cell lymphoma,CANCER
C83.1,Mantle cell lymphoma,CANCER
C83.2,Mixed small and large cell (diffuse) non-Hodgkin lymphoma,CANCER
C83.3,Diffuse large B-cell lymphoma,CANCER
C83.4,Immunoblastic (diffuse) non-Hodgkin lymphoma,CANCER
C83.5,Lymphoblastic (diffuse) non-follicular lymphoma,CANCER
C83.6,Undifferentiated (diffuse) non-Hodgkin lymphoma,CANCER
C83.7,Burkitt lymphoma,CANCER
C83.8,Other non-follicular lymphoma,CANCER
C83.9,"Non-follicular (diffuse) lymphoma, unspecified",CANCER
C84.0,Mycosis fungoides,CANCER
C84.1,Sezary disease,CANCER
C84.2,T-zone lymphoma,CANCER
C84.3,Lymphoepithelioid lymphoma,CANCER
C84.4,"Peripheral T-cell lymphoma, not elsewhere classified",CANCER
C84.5,Other mature T/NK-cell lymphomas,CANCER
C85.0,Lymphosarcoma,CANCER
C85.1,"B-cell lymphoma, unspecified",CANCER
C85.7,Other specified types of non-Hodgkin lymphoma,CANCER
C85.9,"Non-Hodgkin lymphoma, unspecified",CANCER
C88.0,Waldenstrom macroglobulinaemia,CANCER
C88.00,"Waldenstrom macroglobulinaemia, without mention of remission",CANCER
C88.01,"Waldenstrom macroglobulinaemia, in remission",CANCER
C88.10,"Alpha heavy chain disease, without mention of remission",CANCER
C88.11,"Alpha heavy chain disease, in remission",CANCER
C88.20,"Other heavy chain disease, without mention of remission",CANCER
C88.21,"Other heavy chain disease, in remission",CANCER
C88.30,"Immunoproliferative small intestinal disease, without mention of remission",CANCER
C88.31,"Immunoproliferative small intestinal disease, in remission",CANCER
C88.70,"Other malignant immunoproliferative diseases, without mention of remission",CANCER
C88.71,"Other malignant immunoproliferative diseases, in remission",CANCER
C88.90,"Malignant immunoproliferative disease, unspecified, without mention of remission",CANCER
C88.91,"Malignant immunoproliferative disease, unspecified, in remission",CANCER
C90.00,"Multiple myeloma, without mention of remission",CANCER
C90.01,"Multiple myeloma, in remission",CANCER
C90.10,"Plasma cell leukaemia, without mention of remission",CANCER
C90.11,"Plasma cell leukaemia, in remission",CANCER
C90.20,"Extramedullary plasmacytoma, without mention of remission",CANCER
C90.21,"Extramedullary plasmacytoma, in remission",CANCER
C91.00,"Acute lymphoblastic leukaemia [ALL], without mention of remission",CANCER
C91.01,"Acute lymphoblastic leukaemia [ALL], in remission",CANCER
C91.10,"Chronic lymphocytic leukaemia of B-cell type, without mention of remission",CANCER
C91.11,"Chronic lymphocytic leukaemia of B-cell type, in remission",CANCER
C91.20,"Subacute lymphocytic leukaemia, without mention of remission",CANCER
C91.21,"Subacute lymphocytic leukaemia, in remission",CANCER
C91.30,"Prolymphocytic leukaemia of B-cell type, without mention of remission",CANCER
C91.31,"Prolymphocytic leukaemia of B-cell type, in remission",CANCER
C91.40,"Hairy-cell leukaemia, without mention of remission",CANCER
C91.41,"Hairy-cell leukaemia, in remission",CANCER
C91.50,"Adult T-cell leukaemia/lymphoma [HTLV-1-associated], without mention of remission",CANCER
C91.51,"Adult T-cell leukaemia/lymphoma [HTLV-1-associated], in remission",CANCER
C91.70,"Other lymphoid leukaemia, without mention of remission",CANCER
C91.71,"Other lymphoid leukaemia, in remission",CANCER
C91.90,"Lymphoid leukaemia, unspecified, without mention of remission",CANCER
C91.91,"Lymphoid leukaemia, unspecified, in remission",CANCER
C92.00,"Acute myeloblastic leukaemia [AML], without mention of remission",CANCER
C92.01,"Acute myeloblastic leukaemia [AML], in remission",CANCER
C92.10,"Chronic myeloid leukaemia [CML], BCR/ABL-positive, without mention of remission",CANCER
C92.11,"Chronic myeloid leukaemia [CML], BCR/ABL-positive, in remission",CANCER
C92.20,"Atypical chronic myeloid leukaemia, BCR/ABL-negative, without mention of remission",CANCER
C92.21,"Atypical chronic myeloid leukaemia, BCR/ABL-negative, in remission",CANCER
C92.30,"Myeloid sarcoma, without mention of remission",CANCER
C92.31,"Myeloid sarcoma, in remission, in remission",CANCER
C92.40,"Acute promyelocytic leukaemia [PML], without mention of remission",CANCER
C92.41,"Acute promyelocytic leukaemia [PML], in remission",CANCER
C92.50,"Acute myelomonocytic leukaemia, without mention of remission",CANCER
C92.51,"Acute myelomonocytic leukaemia, in remission",CANCER
C92.70,"Other myeloid leukaemia, without mention of remission",CANCER
C92.71,"Other myeloid leukaemia, in remission",CANCER
C92.90,"Myeloid leukaemia, unspecified, without mention of remission",CANCER
C92.91,"Myeloid leukaemia, unspecified, in remission",CANCER
