ICD_CODE,LONG_DESCRIPTION,ELIXHAUSER_GROUP
M05.28,"Rheumatoid vasculitis, other site",RHEUMATOID_ARTHRITIS
M05.29,"Rheumatoid vasculitis, site unspecified",RHEUMATOID_ARTHRITIS
M05.30,"Rheumatoid arthritis with involvement of other organs and systems, multiple sites",RHEUMATOID_ARTHRITIS
M05.31,"Rheumatoid arthritis with involvement of other organs and systems, shoulder region",RHEUMATOID_ARTHRITIS
M05.32,"Rheumatoid arthritis with involvement of other organs and systems, upper arm",RHEUMATOID_ARTHRITIS
M05.33,"Rheumatoid arthritis with involvement of other organs and systems, forearm",RHEUMATOID_ARTHRITIS
M05.34,"Rheumatoid arthritis with involvement of other organs and systems, hand",RHEUMATOID_ARTHRITIS
M05.35,"Rheumatoid arthritis with involvement of other organs and systems, pelvic region and thigh",RHEUMATOID_ARTHRITIS
M05.36,"Rheumatoid arthritis with involvement of other organs and systems, lower leg",RHEUMATOID_ARTHRITIS
M05.37,"Rheumatoid arthritis with involvement of other organs and systems, ankle and foot",RHEUMATOID_ARTHRITIS
M05.38,"Rheumatoid arthritis with involvement of other organs and systems, other site",RHEUMATOID_ARTHRITIS
M05.39,"Rheumatoid arthritis with involvement of other organs and systems, site unspecified",RHEUMATOID_ARTHRITIS
M05.80,"Other seropositive rheumatoid arthritis, multiple sites",RHEUMATOID_ARTHRITIS
M05.81,"Other seropositive rheumatoid arthritis, shoulder region",RHEUMATOID_ARTHRITIS
M05.82,"Other seropositive rheumatoid arthritis, upper arm",RHEUMATOID_ARTHRITIS
M05.83,"Other seropositive rheumatoid arthritis, forearm",RHEUMATOID_ARTHRITIS
M05.84,"Other seropositive rheumatoid arthritis, hand",RHEUMATOID_ARTHRITIS
M05.85,"Other seropositive rheumatoid arthritis, pelvic region and thigh",RHEUMATOID_ARTHRITIS
M05.86,"Other seropositive rheumatoid arthritis, lower leg",RHEUMATOID_ARTHRITIS
M05.87,"Other seropositive rheumatoid arthritis, ankle and foot",RHEUMATOID_ARTHRITIS
M05.88,"Other seropositive rheumatoid arthritis, other site",RHEUMATOID_ARTHRITIS
M05.89,"Other seropositive rheumatoid arthritis, site unspecified",RHEUMATOID_ARTHRITIS
M05.90,"Seropositive rheumatoid arthritis, unspecified, multiple sites",RHEUMATOID_ARTHRITIS
M05.91,"Seropositive rheumatoid arthritis, unspecified, shoulder region",RHEUMATOID_ARTHRITIS
M05.92,"Seropositive rheumatoid arthritis, unspecified, upper arm",RHEUMATOID_ARTHRITIS
M05.93,"Seropositive rheumatoid arthritis, unspecified, forearm",RHEUMATOID_ARTHRITIS
M05.94,"Seropositive rheumatoid arthritis, unspecified, hand",RHEUMATOID_ARTHRITIS
M05.95,"Seropositive rheumatoid arthritis, unspecified, pelvic region and thigh",RHEUMATOID_ARTHRITIS
M05.96,"Seropositive rheumatoid arthritis, unspecified, lower leg",RHEUMATOID_ARTHRITIS
M05.97,"Seropositive rheumatoid arthritis, unspecified, ankle and foot",RHEUMATOID_ARTHRITIS
M05.98,"Seropositive rheumatoid arthritis, unspecified, other site",RHEUMATOID_ARTHRITIS
M05.99,"Seropositive rheumatoid arthritis, unspecified, site unspecified",RHEUMATOID_ARTHRITIS
M06.00,"Seronegative rheumatoid arthritis, multiple sites",RHEUMATOID_ARTHRITIS
M06.01,"Seronegative rheumatoid arthritis, shoulder region",RHEUMATOID_ARTHRITIS
M06.02,"Seronegative rheumatoid arthritis, upper arm",RHEUMATOID_ARTHRITIS
M06.03,"Seronegative rheumatoid arthritis, forearm",RHEUMATOID_ARTHRITIS
M06.04,"Seronegative rheumatoid arthritis, hand",RHEUMATOID_ARTHRITIS
M06.05,"Seronegative rheumatoid arthritis, pelvic region and thigh",RHEUMATOID_ARTHRITIS
M06.06,"Seronegative rheumatoid arthritis, lower leg",RHEUMATOID_ARTHRITIS
M06.07,"Seronegative rheumatoid arthritis, ankle and foot",RHEUMATOID_ARTHRITIS
M06.08,"Seronegative rheumatoid arthritis, other site",RHEUMATOID_ARTHRITIS
M06.09,"Seronegative rheumatoid arthritis, site unspecified",RHEUMATOID_ARTHRITIS
M06.10,"Adult-onset Still's disease, multiple sites",RHEUMATOID_ARTHRITIS
M06.11,"Adult-onset Still's disease, shoulder arm",RHEUMATOID_ARTHRITIS
M06.12,"Adult-onset Still's disease, upper arm",RHEUMATOID_ARTHRITIS
M06.13,"Adult-onset Still's disease, forearm",RHEUMATOID_ARTHRITIS
M06.14,"Adult-onset Still's disease, hand",RHEUMATOID_ARTHRITIS
M06.15,"Adult-onset Still's disease, pelvic region and thigh",RHEUMATOID_ARTHRITIS
M06.16,"Adult-onset Still's disease, lower leg",RHEUMATOID_ARTHRITIS
M06.17,"Adult-onset Still's disease, ankle and foot",RHEUMATOID_ARTHRITIS
M06.18,"Adult-onset Still's disease, other site",RHEUMATOID_ARTHRITIS
M06.19,"Adult-onset Still's disease, site unspecified",RHEUMATOID_ARTHRITIS
M06.20,"Rheumatoid bursitis, multiple sites",RHEUMATOID_ARTHRITIS
M06.21,"Rheumatoid bursitis, shoulder region",RHEUMATOID_ARTHRITIS
M06.22,"Rheumatoid bursitis, upper arm",RHEUMATOID_ARTHRITIS
M06.23,"Rheumatoid bursitis, forearm",RHEUMATOID_ARTHRITIS
M06.24,"Rheumatoid bursitis, hand",RHEUMATOID_ARTHRITIS
M06.25,"Rheumatoid bursitis, pelvic region and thigh",RHEUMATOID_ARTHRITIS
M06.26,"Rheumatoid bursitis, lower leg",RHEUMATOID_ARTHRITIS
M06.27,"Rheumatoid bursitis, ankle and foot",RHEUMATOID_ARTHRITIS
M06.28,"Rheumatoid bursitis, other site",RHEUMATOID_ARTHRITIS
M06.29,"Rheumatoid bursitis, site unspecified",RHEUMATOID_ARTHRITIS
M06.30,"Rheumatoid nodule, multiple sites",RHEUMATOID_ARTHRITIS
M06.31,"Rheumatoid nodule, shoulder region",RHEUMATOID_ARTHRITIS
M06.32,"Rheumatoid nodule, upper arm",RHEUMATOID_ARTHRITIS
M06.33,"Rheumatoid nodule, forearm",RHEUMATOID_ARTHRITIS
M06.34,"Rheumatoid nodule, hand",RHEUMATOID_ARTHRITIS
M06.35,"Rheumatoid nodule, pelvic region and thigh",RHEUMATOID_ARTHRITIS
M06.36,"Rheumatoid nodule, lower leg",RHEUMATOID_ARTHRITIS
M06.37,"Rheumatoid nodule, ankle and foot",RHEUMATOID_ARTHRITIS
M06.38,"Rheumatoid nodule, other site",RHEUMATOID_ARTHRITIS
M06.39,"Rheumatoid nodule, site unspecified",RHEUMATOID_ARTHRITIS
M06.40,"Inflammatory polyarthropathy, multiple sites",RHEUMATOID_ARTHRITIS
M06.41,"Inflammatory polyarthropathy, shoulder region",RHEUMATOID_ARTHRITIS
M06.42,"Inflammatory polyarthropathy, upper arm",RHEUMATOID_ARTHRITIS
M06.43,"Inflammatory polyarthropathy, forearm",RHEUMATOID_ARTHRITIS
M06.44,"Inflammatory polyarthropathy, hand",RHEUMATOID_ARTHRITIS
M06.45,"Inflammatory polyarthropathy, pelvic region and thigh",RHEUMATOID_ARTHRITIS
M06.46,"Inflammatory polyarthropathy, lower leg",RHEUMATOID_ARTHRITIS
M06.47,"Inflammatory polyarthropathy, ankle and foot",RHEUMATOID_ARTHRITIS
M06.48,"Inflammatory polyarthropathy, other site",RHEUMATOID_ARTHRITIS
M06.49,"Inflammatory polyarthropathy, site unspecified",RHEUMATOID_ARTHRITIS
M06.80,"Other specified rheumatoid arthritis, multiple sites",RHEUMATOID_ARTHRITIS
M06.81,"Other specified rheumatoid arthritis, shoulder region",RHEUMATOID_ARTHRITIS
M06.82,"Other specified rheumatoid arthritis, upper arm",RHEUMATOID_ARTHRITIS
M06.83,"Other specified rheumatoid arthritis, forearm",RHEUMATOID_ARTHRITIS
M06.84,"Other specified rheumatoid arthritis, hand",RHEUMATOID_ARTHRITIS
M06.85,"Other specified rheumatoid arthritis, pelvic region and thigh",RHEUMATOID_ARTHRITIS
M06.86,"Other specified rheumatoid arthritis, lower leg",RHEUMATOID_ARTHRITIS
M06.87,"Other specified rheumatoid arthritis, ankle and foot",RHEUMATOID_ARTHRITIS
M06.88,"Other specified rheumatoid arthritis, other site",RHEUMATOID_ARTHRITIS
M06.89,"Other specified rheumatoid arthritis, site unspecified",RHEUMATOID_ARTHRITIS
M06.90,"Rheumatoid arthritis, unspecified, multiple sites",RHEUMATOID_ARTHRITIS
M06.91,"Rheumatoid arthritis, unspecified, shoulder region",RHEUMATOID_ARTHRITIS
M06.92,"Rheumatoid arthritis, unspecified, upper arm",RHEUMATOID_ARTHRITIS
M06.93,"Rheumatoid arthritis, unspecified, forearm",RHEUMATOID_ARTHRITIS
M06.94,"Rheumatoid arthritis, unspecified, hand",RHEUMATOID_ARTHRITIS
M06.95,"Rheumatoid arthritis, unspecified, pelvic region and thigh",RHEUMATOID_ARTHRITIS
M06.96,"Rheumatoid arthritis, unspecified, lower leg",RHEUMATOID_ARTHRITIS
M06.97,"Rheumatoid arthritis, unspecified, ankle and foot",RHEUMATOID_ARTHRITIS
M06.98,"Rheumatoid arthritis, unspecified, other site",RHEUMATOID_ARTHRITIS
