ICD_CODE,LONG_DESCRIPTION,MACSS_GROUP
K26.3,"Duodenal ulcer, acute without haemorrhage or perforation",PEPTIC_ULCER
K26.4,"Duodenal ulcer, chronic or unspecified with haemorrhage",PEPTIC_ULCER
K26.5,"Duodenal ulcer, chronic or unspecified with perforation",PEPTIC_ULCER
K26.6,"Duodenal ulcer, chronic or unspecified with both haemorrhage and perforation",PEPTIC_ULCER
K26.7,"Duodenal ulcer, chronic without haemorrhage or perforation",PEPTIC_ULCER
K26.9,"Duodenal ulcer, unspecified as acute or chronic, without haemorrhage or perforation",PEPTIC_ULCER
K27.0,"Peptic ulcer, acute with haemorrhage",PEPTIC_ULCER
K27.1,"Peptic ulcer, acute with perforation",PEPTIC_ULCER
K27.2,"Peptic ulcer, acute with both haemorrhage and perforation",PEPTIC_ULCER
K27.3,"Peptic ulcer, acute without haemorrhage or perforation",PEPTIC_ULCER
K27.4,"Peptic ulcer, chronic or unspecified with haemorrhage",PEPTIC_ULCER
K27.5,"Peptic ulcer, chronic or unspecified with perforation",PEPTIC_ULCER
K27.6,"Peptic ulcer, chronic or unspecified with both haemorrhage and perforation",PEPTIC_ULCER
K27.7,"Peptic ulcer, chronic without haemorrhage or perforation",PEPTIC_ULCER
K27.9,"Peptic ulcer, unspecified as acute or chronic, without haemorrhage or perforation",PEPTIC_ULCER
K28.0,"Gastrojejunal ulcer, acute with haemorrhage",PEPTIC_ULCER
K28.1,"Gastrojejunal ulcer, acute with perforation",PEPTIC_ULCER
K28.2,"Gastrojejunal ulcer, acute with both haemorrhage and perforation",PEPTIC_ULCER
K28.3,"Gastrojejunal ulcer, acute without haemorrhage or perforation",PEPTIC_ULCER
K28.4,"Gastrojejunal ulcer, chronic or unspecified with haemorrhage",PEPTIC_ULCER
K28.5,"Gastrojejunal ulcer, chronic or unspecified with perforation",PEPTIC_ULCER
K28.6,"Gastrojejunal ulcer, chronic or unspecified with both haemorrhage and perforation",PEPTIC_ULCER
K28.7,"Gastrojejunal ulcer, chronic without haemorrhage or perforation",PEPTIC_ULCER
K28.9,"Gastrojejunal ulcer, unspecified as acute or chronic, without haemorrhage or perforation",PEPTIC_ULCER
K29.0,Acute haemorrhagic gastritis,GASTRITIS_OR_DUODENITIS
K29.1,Other acute gastritis,GASTRITIS_OR_DUODENITIS
K29.2,Alcoholic gastritis,GASTRITIS_OR_DUODENITIS
K29.3,Chronic superficial gastritis,GASTRITIS_OR_DUODENITIS
K29.4,Chronic atrophic gastritis,GASTRITIS_OR_DUODENITIS
K29.5,"Chronic gastritis, unspecified",GASTRITIS_OR_DUODENITIS
K29.6,Other gastritis,GASTRITIS_OR_DUODENITIS
K29.7,"Gastritis, unspecified",GASTRITIS_OR_DUODENITIS
K29.8,Duodenitis,GASTRITIS_OR_DUODENITIS
K29.9,"Gastroduodenitis, unspecified",GASTRITIS_OR_DUODENITIS
K80.00,"Calculus of gallbladder with acute cholecystitis, without mention of obstruction",CHOLELITHIASIS
K80.01,"Calculus of gallbladder with acute cholecystitis, with obstruction",CHOLELITHIASIS
K80.10,"Calculus of gallbladder with other cholecystitis, without mention of obstruction",CHOLELITHIASIS
K80.11,"Calculus of gallbladder with other cholecystitis, with obstruction",CHOLELITHIASIS
K80.20,"Calculus of gallbladder without cholecystitis, without mention of obstruction",CHOLELITHIASIS
K80.21,"Calculus of gallbladder without cholecystitis, with obstruction",CHOLELITHIASIS
K80.30,"Calculus of bile duct with cholangitis, without mention of obstruction",CHOLELITHIASIS
K80.31,"Calculus of bile duct with cholangitis, with obstruction",CHOLELITHIASIS
K80.40,"Calculus of bile duct with cholecystitis, without mention of obstruction",CHOLELITHIASIS
K80.41,"Calculus of bile duct with cholecystitis, with obstruction",CHOLELITHIASIS
K80.50,"Calculus of bile duct without cholangitis or cholecystitis, without mention of obstruction",CHOLELITHIASIS
K80.51,"Calculus of bile duct without cholangitis or cholecystitis, with obstruction",CHOLELITHIASIS
K80.80,"Other cholelithiasis, without mention of obstruction",CHOLELITHIASIS
K80.81,"Other cholelithiasis, with obstruction",CHOLELITHIASIS
K81.0,Acute cholecystitis,CHOLELITHIASIS
K81.1,Chronic cholecystitis,CHOLELITHIASIS
K81.8,Other cholecystitis,CHOLELITHIASIS
K81.9,"Cholecystitis, unspecified",CHOLELITHIASIS
K82.0,Obstruction of gallbladder,CHOLELITHIASIS
K82.1,Hydrops of gallbladder,CHOLELITHIASIS
K82.2,Perforation of gallbladder,CHOLELITHIASIS
K82.3,Fistula of gallbladder,CHOLELITHIASIS
K82.4,Cholesterolosis of gallbladder,CHOLELITHIASIS
K82.8,Other specified diseases of gallbladder,CHOLELITHIASIS
K82.9,"Disease of gallbladder, unspecified",CHOLELITHIASIS
K87.0,Disorders of gallbladder and biliary tract in diseases classified elsewhere,CHOLELITHIASIS
K70.0,Alcoholic fatty liver,CHRONIC_LIVER_DISEASE
K70.1,Alcoholic hepatitis,CHRONIC_LIVER_DISEASE
K70.2,Alcoholic fibrosis and sclerosis of liver,CHRONIC_LIVER_DISEASE
K70.3,Alcoholic cirrhosis of liver,CHRONIC_LIVER_DISEASE
K70.4,Alcoholic hepatic failure,CHRONIC_LIVER_DISEASE
K70.9,"Alcoholic liver disease, unspecified",CHRONIC_LIVER_DISEASE
K71.7,Toxic liver disease with fibrosis and cirrhosis of liver,CHRONIC_LIVER_DISEASE
K73.0,"Chronic persistent hepatitis, not elsewhere classified",CHRONIC_LIVER_DISEASE
K73.1,"Chronic lobular hepatitis, not elsewhere classified",CHRONIC_LIVER_DISEASE
K73.2,"Chronic active hepatitis, not elsewhere classified",CHRONIC_LIVER_DISEASE
K73.8,"Other chronic hepatitis, not elsewhere classified",CHRONIC_LIVER_DISEASE
K73.9,"Chronic hepatitis, unspecified",CHRONIC_LIVER_DISEASE
K74.0,Hepatic fibrosis,CHRONIC_LIVER_DISEASE
K74.1,Hepatic sclerosis,CHRONIC_LIVER_DISEASE
K74.2,Hepatic fibrosis with hepatic sclerosis,CHRONIC_LIVER_DISEASE
K74.3,Primary biliary cirrhosis,CHRONIC_LIVER_DISEASE
K74.4,Secondary biliary cirrhosis,CHRONIC_LIVER_DISEASE
K74.5,"Biliary cirrhosis, unspecified",CHRONIC_LIVER_DISEASE
K74.6,Other and unspecified cirrhosis of liver,CHRONIC_LIVER_DISEASE
K76.0,"Fatty (change of) liver, not elsewhere classified",CHRONIC_LIVER_DISEASE
K76.1,Chronic passive congestion of liver,CHRONIC_LIVER_DISEASE
R16.0,"Hepatomegaly, not elsewhere classified",CHRONIC_LIVER_DISEASE
R16.2,"Hepatomegaly with splenomegaly, not elsewhere classified",CHRONIC_LIVER_DISEASE
Z94.4,Liver transplant status,CHRONIC_LIVER_DISEASE
K72.1,Chronic hepatic failure,SEQUALAE_OF_CHRONIC_LIVER_DISEASE
K72.9,"Hepatic failure, unspecified",SEQUALAE_OF_CHRONIC_LIVER_DISEASE
K76.6,Portal hypertension,SEQUALAE_OF_CHRONIC_LIVER_DISEASE
K76.7,Hepatorenal syndrome,SEQUALAE_OF_CHRONIC_LIVER_DISEASE
K40.00,"Bilateral inguinal hernia, with obstruction, without gangrene, not specified as recurrent",ABDOMINAL_HERNIA
K40.01,"Bilateral inguinal hernia, with obstruction, without gangrene, recurrent",ABDOMINAL_HERNIA
K40.10,"Bilateral inguinal hernia, with gangrene, not specified as recurrent",ABDOMINAL_HERNIA
K40.11,"Bilateral inguinal hernia, with gangrene, recurrent",ABDOMINAL_HERNIA
K40.20,"Bilateral inguinal hernia, without obstruction or gangrene, not specified as recurrent",ABDOMINAL_HERNIA
K40.21,"Bilateral inguinal hernia, without obstruction or gangrene, recurrent",ABDOMINAL_HERNIA
K40.3,"Unilateral or unspecified inguinal hernia, with obstruction, without gangrene",ABDOMINAL_HERNIA
K40.30,"Unilateral or unspecified inguinal hernia, with obstruction, without gangrene, not specified as recurrent",ABDOMINAL_HERNIA
K40.31,"Unilateral or unspecified inguinal hernia, with obstruction, without gangrene, recurrent",ABDOMINAL_HERNIA
K40.4,"Unilateral or unspecified inguinal hernia, with gangrene",ABDOMINAL_HERNIA
K40.40,"Unilateral or unspecified inguinal hernia, with gangrene, not specified as recurrent",ABDOMINAL_HERNIA
K40.41,"Unilateral or unspecified inguinal hernia, with gangrene, recurrent",ABDOMINAL_HERNIA
K40.9,"Unilateral or unspecified inguinal hernia, without obstruction or gangrene",ABDOMINAL_HERNIA
K40.90,"Unilateral or unspecified inguinal hernia, without obstruction or gangrene, not specified as recurrent",ABDOMINAL_HERNIA
K40.91,"Unilateral or unspecified inguinal hernia, without obstruction or gangrene, recurrent",ABDOMINAL_HERNIA
K41.0,"Bilateral femoral hernia, with obstruction, without gangrene",ABDOMINAL_HERNIA
K41.1,"Bilateral femoral hernia, with gangrene",ABDOMINAL_HERNIA
K41.2,"Bilateral femoral hernia, without obstruction or gangrene",ABDOMINAL_HERNIA
K41.3,"Unilateral or unspecified femoral hernia, with obstruction, without gangrene",ABDOMINAL_HERNIA
K41.4,"Unilateral or unspecified femoral hernia, with gangrene",ABDOMINAL_HERNIA
K41.9,"Unilateral or unspecified femoral hernia, without obstruction or gangrene",ABDOMINAL_HERNIA
K42.0,"Umbilical hernia with obstruction, without gangrene",ABDOMINAL_HERNIA
K42.1,Umbilical hernia with gangrene,ABDOMINAL_HERNIA
K42.9,Umbilical hernia without obstruction or gangrene,ABDOMINAL_HERNIA
K43.0,"Incisional hernia with obstruction, without gangrene",ABDOMINAL_HERNIA
K43.1,Incisional hernia with gangrene,ABDOMINAL_HERNIA
K43.9,Other and unspecified ventral hernia without obstruction or gangrene,ABDOMINAL_HERNIA
K44.0,"Diaphragmatic hernia with obstruction, without gangrene",ABDOMINAL_HERNIA
K44.1,Diaphragmatic hernia with gangrene,ABDOMINAL_HERNIA
K44.9,Diaphragmatic hernia without obstruction or gangrene,ABDOMINAL_HERNIA
K45.0,"Other specified abdominal hernia with obstruction, without gangrene",ABDOMINAL_HERNIA
K45.1,Other specified abdominal hernia with gangrene,ABDOMINAL_HERNIA
K45.8,Other specified abdominal hernia without obstruction or gangrene,ABDOMINAL_HERNIA
K46.0,"Unspecified abdominal hernia with obstruction, without gangrene",ABDOMINAL_HERNIA
K46.1,Unspecified abdominal hernia with gangrene,ABDOMINAL_HERNIA
K46.9,Unspecified abdominal hernia without obstruction or gangrene,ABDOMINAL_HERNIA
K52.0,Gastroenteritis and colitis due to radiation,NONINFECTIOUS_DIGESTIVE_DISORDERS
K52.1,Toxic gastroenteritis and colitis,NONINFECTIOUS_DIGESTIVE_DISORDERS
K52.2,Allergic and dietetic gastroenteritis and colitis,NONINFECTIOUS_DIGESTIVE_DISORDERS
K52.8,Other specified noninfective gastroenteritis and colitis,NONINFECTIOUS_DIGESTIVE_DISORDERS
K52.9,"Noninfective gastroenteritis and colitis, unspecified",NONINFECTIOUS_DIGESTIVE_DISORDERS
K58.0,Irritable bowel syndrome with diarrhoea,NONINFECTIOUS_DIGESTIVE_DISORDERS
K58.9,Irritable bowel syndrome without diarrhoea,NONINFECTIOUS_DIGESTIVE_DISORDERS
K59.0,Constipation,NONINFECTIOUS_DIGESTIVE_DISORDERS
K59.1,Functional diarrhoea,NONINFECTIOUS_DIGESTIVE_DISORDERS
K59.2,"Neurogenic bowel, not elsewhere classified",NONINFECTIOUS_DIGESTIVE_DISORDERS
K59.3,"Megacolon, not elsewhere classified",NONINFECTIOUS_DIGESTIVE_DISORDERS
K59.4,Anal spasm,NONINFECTIOUS_DIGESTIVE_DISORDERS
K59.8,Other specified functional intestinal disorders,NONINFECTIOUS_DIGESTIVE_DISORDERS
K59.9,"Functional intestinal disorder, unspecified",NONINFECTIOUS_DIGESTIVE_DISORDERS
K60.0,Acute anal fissure,NONINFECTIOUS_DIGESTIVE_DISORDERS
K60.1,Chronic anal fissure,NONINFECTIOUS_DIGESTIVE_DISORDERS
K60.2,"Anal fissure, unspecified",NONINFECTIOUS_DIGESTIVE_DISORDERS
K60.3,Anal fistula,NONINFECTIOUS_DIGESTIVE_DISORDERS
K60.4,Rectal fistula,NONINFECTIOUS_DIGESTIVE_DISORDERS
K60.5,Anorectal fistula,NONINFECTIOUS_DIGESTIVE_DISORDERS
K91.0,Vomiting following gastrointestinal surgery,NONINFECTIOUS_DIGESTIVE_DISORDERS
K91.1,Postgastric surgery syndromes,NONINFECTIOUS_DIGESTIVE_DISORDERS
K93.1,Megacolon in Chagas' disease (B57.3+),NONINFECTIOUS_DIGESTIVE_DISORDERS
Z90.3,Acquired absence of part of stomach,NONINFECTIOUS_DIGESTIVE_DISORDERS
K57.00,"Diverticulosis of small intestine with perforation and abscess, without mention of haemorrhage",DIVERTICULAR_DISEASE
K57.01,"Diverticulosis of small intestine with haemorrhage, perforation and abscess",DIVERTICULAR_DISEASE
K57.02,"Diverticulitis of small intestine with perforation and abscess, without mention of haemorrhage",DIVERTICULAR_DISEASE
K57.03,"Diverticulitis of small intestine with haemorrhage, perforation and abscess",DIVERTICULAR_DISEASE
K57.10,"Diverticulosis of small intestine, without perforation, abscess or mention of haemorrhage",DIVERTICULAR_DISEASE
K57.11,"Diverticulosis of small intestine without perforation or abscess, with haemorrhage",DIVERTICULAR_DISEASE
K57.12,"Diverticulitis of small intestine without perforation, abscess or mention of haemorrhage",DIVERTICULAR_DISEASE
K57.13,"Diverticulitis of small intestine without perforation or abscess, with haemorrhage",DIVERTICULAR_DISEASE
K57.20,"Diverticulosis of large intestine with perforation and abscess, without mention of haemorrhage",DIVERTICULAR_DISEASE
K57.21,"Diverticulosis of large intestine with haemorrhage, perforation and abscess",DIVERTICULAR_DISEASE
K57.22,"Diverticulitis of large intestine with perforation and abscess, without mention of haemorrhage",DIVERTICULAR_DISEASE
K57.23,"Diverticulitis of large intestine with haemorrhage, perforation and abscess",DIVERTICULAR_DISEASE
K57.30,"Diverticulosis of large intestine without perforation, abscess or mention of haemorrhage",DIVERTICULAR_DISEASE
K57.31,"Diverticulosis of large intestine without perforation or abscess, with haemorrhage",DIVERTICULAR_DISEASE
K57.32,"Diverticulitis of large intestine without perforation, abscess or mention of haemorrhage",DIVERTICULAR_DISEASE
K57.33,"Diverticulitis of large intestine without perforation or abscess, with haemorrhage",DIVERTICULAR_DISEASE
K57.40,"Diverticulosis of both small and large intestine with perforation and abscess, without mention of haemorrhage",DIVERTICULAR_DISEASE
K57.41,"Diverticulosis of both small and large intestine with haemorrhage, perforation and abscess",DIVERTICULAR_DISEASE
K57.42,"Diverticulitis of both small and large intestine with perforation and abscess, without mention of haemorrhage",DIVERTICULAR_DISEASE
K57.43,"Diverticulitis of both small and large intestine with haemorrhage, perforation and abscess",DIVERTICULAR_DISEASE
K57.50,"Diverticulosis of both small and large intestine without perforation, abscess or mention of haemorrhage",DIVERTICULAR_DISEASE
K57.51,"Diverticulosis of both small and large intestine without perforation or abscess, with haemorrhage",DIVERTICULAR_DISEASE
K57.52,"Diverticulitis of both small and large intestine without perforation, abscess or mention of haemorrhage",DIVERTICULAR_DISEASE
K57.53,"Diverticulitis of both small and large intestine without perforation or abscess, with haemorrhage",DIVERTICULAR_DISEASE
K57.80,"Diverticulosis of intestine, part unspecified, with perforation and abscess without mention of haemorrhage",DIVERTICULAR_DISEASE
K57.81,"Diverticulosis of intestine, part unspecified, with haemorrhage, perforation and abscess",DIVERTICULAR_DISEASE
K57.82,"Diverticulitis of intestine, part unspecified, with perforation and abscess, without mention of haemorrhage",DIVERTICULAR_DISEASE
K57.83,"Diverticulitis of intestine, part unspecified, with haemorrhage, perforation and abscess",DIVERTICULAR_DISEASE
K57.90,"Diverticulosis of intestine, part unspecified, without perforation, abscess or mention of haemorrhage",DIVERTICULAR_DISEASE
K57.91,"Diverticulosis of intestine, part unspecified, without perforation or abscess, with haemorrhage",DIVERTICULAR_DISEASE
K57.92,"Diverticulitis of intestine, part unspecified, without perforation, abscess or mention of haemorrhage",DIVERTICULAR_DISEASE
K57.93,"Diverticulitis of intestine, part unspecified, without perforation or abscess, with haemorrhage",DIVERTICULAR_DISEASE
K66.0,Peritoneal adhesions,PERITONEAL_ADHESIONS
K66.1,Haemoperitoneum,PERITONEAL_ADHESIONS
K66.8,Other specified disorders of peritoneum,PERITONEAL_ADHESIONS
K66.9,"Disorder of peritoneum, unspecified",PERITONEAL_ADHESIONS
K55.21,Angiodysplasia of colon without mention of haemorrhage,OTHER_DISEASES_OF_INTESTINE
K55.22,Angiodysplasia of colon with haemorrhage,OTHER_DISEASES_OF_INTESTINE
K62.0,Anal polyp,OTHER_DISEASES_OF_INTESTINE
K62.1,Rectal polyp,OTHER_DISEASES_OF_INTESTINE
K62.2,Anal prolapse,OTHER_DISEASES_OF_INTESTINE
K62.3,Rectal prolapse,OTHER_DISEASES_OF_INTESTINE
K62.4,Stenosis of anus and rectum,OTHER_DISEASES_OF_INTESTINE
K62.5,Haemorrhage of anus and rectum,OTHER_DISEASES_OF_INTESTINE
K62.6,Ulcer of anus and rectum,OTHER_DISEASES_OF_INTESTINE
K62.7,Radiation proctitis,OTHER_DISEASES_OF_INTESTINE
K62.8,Other specified diseases of anus and rectum,OTHER_DISEASES_OF_INTESTINE
K62.9,"Disease of anus and rectum, unspecified",OTHER_DISEASES_OF_INTESTINE
K63.0,Abscess of intestine,OTHER_DISEASES_OF_INTESTINE
K63.1,Perforation of intestine (nontraumatic),OTHER_DISEASES_OF_INTESTINE
K63.2,Fistula of intestine,OTHER_DISEASES_OF_INTESTINE
K63.3,Ulcer of intestine,OTHER_DISEASES_OF_INTESTINE
K63.4,Enteroptosis,OTHER_DISEASES_OF_INTESTINE
K63.5,Polyp of colon,OTHER_DISEASES_OF_INTESTINE
K63.50,"Polyp of colon, unspecified",OTHER_DISEASES_OF_INTESTINE
K63.51,Juvenile polyp of colon,OTHER_DISEASES_OF_INTESTINE
K63.58,Other polyp of colon,OTHER_DISEASES_OF_INTESTINE
K63.8,Other specified diseases of intestine,OTHER_DISEASES_OF_INTESTINE
K63.9,"Disease of intestine, unspecified",OTHER_DISEASES_OF_INTESTINE
K91.4,Malfunction of stoma of the digestive system,OTHER_DISEASES_OF_INTESTINE
K92.8,Other specified diseases of digestive system,OTHER_DISEASES_OF_INTESTINE
K92.9,"Disease of digestive system, unspecified",OTHER_DISEASES_OF_INTESTINE
K93.8,Disorders of other specified digestive organs in diseases classified elsewhere,OTHER_DISEASES_OF_INTESTINE
K92.0,Haematemesis,GASTROINTESTINAL_HEMORRHAGE
K92.1,Melaena,GASTROINTESTINAL_HEMORRHAGE
K92.2,"Gastrointestinal haemorrhage, unspecified",GASTROINTESTINAL_HEMORRHAGE
I12.0,Hypertensive kidney disease with kidney failure,CHRONIC_RENAL_DISEASE
I13.1,Hypertensive heart and kidney disease with kidney failure,CHRONIC_RENAL_DISEASE
I13.2,Hypertensive heart and kidney disease with both (congestive) heart failure and kidney failure,CHRONIC_RENAL_DISEASE
N11.1,Chronic obstructive pyelonephritis,CHRONIC_RENAL_DISEASE
N11.8,Other chronic tubulo-interstitial nephritis,CHRONIC_RENAL_DISEASE
N11.9,"Chronic tubulo-interstitial nephritis, unspecified",CHRONIC_RENAL_DISEASE
N18.0,End-stage renal disease,CHRONIC_RENAL_DISEASE
N18.1,"Chronic kidney disease, stage 1",CHRONIC_RENAL_DISEASE
N18.2,"Chronic kidney disease, stage 2",CHRONIC_RENAL_DISEASE
N18.3,"Chronic kidney disease, stage 3",CHRONIC_RENAL_DISEASE
N18.4,"Chronic kidney disease, stage 4",CHRONIC_RENAL_DISEASE
N18.5,"Chronic kidney disease, stage 5",CHRONIC_RENAL_DISEASE
N18.8,Other chronic renal failure,CHRONIC_RENAL_DISEASE
N18.9,"Chronic kidney disease, unspecified",CHRONIC_RENAL_DISEASE
N18.90,Unspecified chronic renal failure,CHRONIC_RENAL_DISEASE
N18.91,Chronic renal impairment,CHRONIC_RENAL_DISEASE
N19.,Unspecified kidney failure,CHRONIC_RENAL_DISEASE
Z49.0,Preparatory care for dialysis,CHRONIC_RENAL_DISEASE
Z49.1,Extracorporeal dialysis,CHRONIC_RENAL_DISEASE
Z49.2,Other dialysis,CHRONIC_RENAL_DISEASE
Z94.0,Kidney transplant status,CHRONIC_RENAL_DISEASE
Z99.2,Dependence on kidney dialysis,CHRONIC_RENAL_DISEASE
N06.0,Isolated proteinuria with minor glomerular abnormality,OTHER_KIDNEY_URETER_OR_BLADDER_CONDITIONS
N06.1,Isolated proteinuria with focal and segmental glomerular lesions,OTHER_KIDNEY_URETER_OR_BLADDER_CONDITIONS
N06.2,Isolated proteinuria with diffuse membranous glomerulonephritis,OTHER_KIDNEY_URETER_OR_BLADDER_CONDITIONS
N06.3,Isolated proteinuria with diffuse mesangial proliferative glomerulonephritis,OTHER_KIDNEY_URETER_OR_BLADDER_CONDITIONS
N06.4,Isolated proteinuria with diffuse endocapillary proliferative glomerulonephritis,OTHER_KIDNEY_URETER_OR_BLADDER_CONDITIONS
N06.5,Isolated proteinuria with diffuse mesangiocapillary glomerulonephritis,OTHER_KIDNEY_URETER_OR_BLADDER_CONDITIONS
N06.6,Isolated proteinuria with dense deposit disease,OTHER_KIDNEY_URETER_OR_BLADDER_CONDITIONS
N06.7,Isolated proteinuria with diffuse crescentic glomerulonephritis,OTHER_KIDNEY_URETER_OR_BLADDER_CONDITIONS
N06.8,"Isolated proteinuria with specified morphological lesion, other",OTHER_KIDNEY_URETER_OR_BLADDER_CONDITIONS
N06.9,"Isolated proteinuria with specified morphological lesion, unspecified",OTHER_KIDNEY_URETER_OR_BLADDER_CONDITIONS
N11.0,Nonobstructive reflux-associated chronic pyelonephritis,OTHER_KIDNEY_URETER_OR_BLADDER_CONDITIONS
N12.,"Tubulo-interstitial nephritis, not specified as acute or chronic",OTHER_KIDNEY_URETER_OR_BLADDER_CONDITIONS
N13.0,Hydronephrosis with ureteropelvic junction obstruction,OTHER_KIDNEY_URETER_OR_BLADDER_CONDITIONS
N13.1,"Hydronephrosis with ureteral stricture, not elsewhere classified",OTHER_KIDNEY_URETER_OR_BLADDER_CONDITIONS
N13.2,Hydronephrosis with renal and ureteral calculus obstruction,OTHER_KIDNEY_URETER_OR_BLADDER_CONDITIONS
N13.3,Other and unspecified hydronephrosis,OTHER_KIDNEY_URETER_OR_BLADDER_CONDITIONS
N13.4,Hydroureter,OTHER_KIDNEY_URETER_OR_BLADDER_CONDITIONS
N13.5,Kinking and stricture of ureter without hydronephrosis,OTHER_KIDNEY_URETER_OR_BLADDER_CONDITIONS
N13.6,Pyonephrosis,OTHER_KIDNEY_URETER_OR_BLADDER_CONDITIONS
N13.7,Vesicoureteral-reflux-associated uropathy,OTHER_KIDNEY_URETER_OR_BLADDER_CONDITIONS
N13.8,Other obstructive and reflux uropathy,OTHER_KIDNEY_URETER_OR_BLADDER_CONDITIONS
N28.0,Ischaemia and infarction of kidney,OTHER_KIDNEY_URETER_OR_BLADDER_CONDITIONS
N28.1,Cyst of kidney,OTHER_KIDNEY_URETER_OR_BLADDER_CONDITIONS
N28.8,Other specified disorders of kidney and ureter,OTHER_KIDNEY_URETER_OR_BLADDER_CONDITIONS
N28.9,"Disorder of kidney and ureter, unspecified",OTHER_KIDNEY_URETER_OR_BLADDER_CONDITIONS
N29.0,Late syphilis of kidney (A52.7+),OTHER_KIDNEY_URETER_OR_BLADDER_CONDITIONS
N29.1,Other disorders of kidney and ureter in infectious and parasitic diseases classified elsewhere,OTHER_KIDNEY_URETER_OR_BLADDER_CONDITIONS
N31.0,"Uninhibited neuropathic bladder, not elsewhere classified",OTHER_KIDNEY_URETER_OR_BLADDER_CONDITIONS
N31.1,"Reflex neuropathic bladder, not elsewhere classified",OTHER_KIDNEY_URETER_OR_BLADDER_CONDITIONS
N31.2,"Flaccid neuropathic bladder, not elsewhere classified",OTHER_KIDNEY_URETER_OR_BLADDER_CONDITIONS
N31.8,Other neuromuscular dysfunction of bladder,OTHER_KIDNEY_URETER_OR_BLADDER_CONDITIONS
N31.9,"Neuromuscular dysfunction of bladder, unspecified",OTHER_KIDNEY_URETER_OR_BLADDER_CONDITIONS
N32.0,Bladder neck obstruction,OTHER_KIDNEY_URETER_OR_BLADDER_CONDITIONS
N32.1,Vesicointestinal fistula,OTHER_KIDNEY_URETER_OR_BLADDER_CONDITIONS
N32.2,"Vesical fistula, not elsewhere classified",OTHER_KIDNEY_URETER_OR_BLADDER_CONDITIONS
N32.3,Diverticulum of bladder,OTHER_KIDNEY_URETER_OR_BLADDER_CONDITIONS
N32.4,"Rupture of bladder, nontraumatic",OTHER_KIDNEY_URETER_OR_BLADDER_CONDITIONS
N32.8,Other specified disorders of bladder,OTHER_KIDNEY_URETER_OR_BLADDER_CONDITIONS
N32.9,"Bladder disorder, unspecified",OTHER_KIDNEY_URETER_OR_BLADDER_CONDITIONS
N39.1,"Persistent proteinuria, unspecified",OTHER_KIDNEY_URETER_OR_BLADDER_CONDITIONS
N39.2,"Orthostatic proteinuria, unspecified",OTHER_KIDNEY_URETER_OR_BLADDER_CONDITIONS
N39.81,Loin pain/haematuria syndrome,OTHER_KIDNEY_URETER_OR_BLADDER_CONDITIONS
Z90.5,Acquired absence of kidney,OTHER_KIDNEY_URETER_OR_BLADDER_CONDITIONS
N39.0,"Urinary tract infection, site not specified",URINARY_TRACT_INFECTION
D29.1,Benign neoplasm of prostate,BENIGN_PROSTATIC_HYPERTROPHY
N40.,Hyperplasia of prostate,BENIGN_PROSTATIC_HYPERTROPHY
R33.,Retention of urine,BENIGN_PROSTATIC_HYPERTROPHY
N60.0,Solitary cyst of breast,BREAST_DISORDERS
N60.1,Diffuse cystic mastopathy,BREAST_DISORDERS
N60.2,Fibroadenosis of breast,BREAST_DISORDERS
N60.3,Fibrosclerosis of breast,BREAST_DISORDERS
N60.4,Mammary duct ectasia,BREAST_DISORDERS
N60.8,Other benign mammary dysplasias,BREAST_DISORDERS
N60.9,"Benign mammary dysplasia, unspecified",BREAST_DISORDERS
N61.,Inflammatory disorders of breast,BREAST_DISORDERS
N62.,Hypertrophy of breast,BREAST_DISORDERS
N63.,Unspecified lump in breast,BREAST_DISORDERS
N64.0,Fissure and fistula of nipple,BREAST_DISORDERS
N64.1,Fat necrosis of breast,BREAST_DISORDERS
N64.2,Atrophy of breast,BREAST_DISORDERS
N64.3,Galactorrhoea not associated with childbirth,BREAST_DISORDERS
N64.4,Mastodynia,BREAST_DISORDERS
N64.5,Other signs and symptoms in breast,BREAST_DISORDERS
N64.8,Other specified disorders of breast,BREAST_DISORDERS
N64.9,"Disorder of breast, unspecified",BREAST_DISORDERS
Z90.1,Acquired absence of breast(s),BREAST_DISORDERS
N70.0,Acute salpingitis and oophoritis,PELVIC_INFLAMMATORY_DISEASE
N70.1,Chronic salpingitis and oophoritis,PELVIC_INFLAMMATORY_DISEASE
N70.9,"Salpingitis and oophoritis, unspecified",PELVIC_INFLAMMATORY_DISEASE
N73.0,Acute parametritis and pelvic cellulitis,PELVIC_INFLAMMATORY_DISEASE
N73.1,Chronic parametritis and pelvic cellulitis,PELVIC_INFLAMMATORY_DISEASE
N73.2,Unspecified parametritis and pelvic cellulitis,PELVIC_INFLAMMATORY_DISEASE
N73.3,Female acute pelvic peritonitis,PELVIC_INFLAMMATORY_DISEASE
N73.4,Female chronic pelvic peritonitis,PELVIC_INFLAMMATORY_DISEASE
N73.5,"Female pelvic peritonitis, unspecified",PELVIC_INFLAMMATORY_DISEASE
N73.6,Female pelvic peritoneal adhesions,PELVIC_INFLAMMATORY_DISEASE
N73.8,Other specified female pelvic inflammatory diseases,PELVIC_INFLAMMATORY_DISEASE
N73.9,"Female pelvic inflammatory disease, unspecified",PELVIC_INFLAMMATORY_DISEASE
N74.2,"Female syphilitic pelvic inflammatory disease (A51.4+, A52.7+)",PELVIC_INFLAMMATORY_DISEASE
